id	gene_symbol	complex
O14497	ARI1A	p300-CBP-p270-SWI/SNF complex
O14497	ARI1A	p300-CBP-p270 complex
O14497	ARI1A	BRM-SIN3A complex
O14543	SOCS3	LMO4-gp130 complex
O14617	AP3D1	AP3 adapter complex
O14617	AP3D1	AP3-BLOC1 complex
O14656	TOR1A	TorsinA-TorsinB complex
O14657	TOR1B	TorsinA-TorsinB complex
O14662	STX16	SNARE complex (VAMP3, VAMP4, STX16)
O14662	STX16	SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)
O14686	KMT2D	UTX-MLL2/3 complex
O14727	APAF	Apoptosome
O14727	APAF	Apoptosome-procaspase 9 complex
O14744	ANM5	FIB-associated protein complex
O14744	ANM5	FCP1-associated protein complex
O14744	ANM5	BRM-SIN3A complex
O14744	ANM5	20S methylosome-SmD complex
O14744	ANM5	PRMT5 complex
O14744	ANM5	Anti-Sm protein complex
O14744	ANM5	20S methylosome and RG-containing Sm protein complex
O14744	ANM5	JBP1-pICln complex
O14744	ANM5	BRG1-SIN3A complex
O14745	NHRF1	CFTR-NHERF-beta(2)AR signaling complex
O14745	NHRF1	C-CFTR-NHERF(PDZ1 domain)-ezrin complex
O14757	CHK1	Ubiquitin E3 ligase (CHEK1, CUL1)
O14757	CHK1	Ubiquitin E3 ligase (CHEK1, CUL4A)
O14777	NDC80	NDC80 kinetochore complex
O14786	NRP1	NRP1-VEGFD complex, heparin dependent
O14786	NRP1	SEMA6D-PlexinA1-NRP1 complex
O14786	NRP1	ITGB1-NRP1 complex
O14786	NRP1	PlexinA3-Nrp1 complex
O14786	NRP1	PlexinB1-Nrp1 complex
O14786	NRP1	NRP1-VEGFC complex, heparin dependent
O14786	NRP1	NRP1-VEGF(165/121) complex
O14786	NRP1	FARP2-NRP1-PlexinA1 complex
O14786	NRP1	VEGFA(165)-KDR-NRP1 complex
O14786	NRP1	PlexinA1-NRP1 complex
O14786	NRP1	PlexinA1-NRP1-SEMA3A complex
O14786	NRP1	FARP2-NRP1-PlexinA4 complex
O14786	NRP1	FARP2-NRP1-PlexinA3 complex
O14786	NRP1	SEMA3C-PlexinD1-Nrp1 complex
O14786	NRP1	FARP2-NRP1-PlexinA2 complex
O14786	NRP1	VEGFA(165)-KDR-NRP1 complex
O14810	CPLX1	Complexin complex (STX3, CPLX1, CPLX3)
O14810	CPLX1	SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)
O14810	CPLX1	SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)
O14818	PSA7	PA28-20S proteasome
O14818	PSA7	PA28gamma-20S proteasome
O14818	PSA7	20S proteasome
O14818	PSA7	26S proteasome
O14828	SCAM3	SCAMP1-SCAMP2-SCAMP3 complex
O14867	BACH1	BRCA1 B complex
O14867	BACH1	BRCA1-BARD1-BACH1-DNA damage complex I
O14867	BACH1	BP-SMAD complex
O14867	BACH1	BRCA1-BARD1-BACH1-DNA damage complex II
O14893	GEMI2	SMN1-SIP1-SNRP complex
O14893	GEMI2	SMN containing complex
O14893	GEMI2	SMN complex
O14893	GEMI2	Anti-Sm protein complex
O14893	GEMI2	SMN complex (GEMIN2,5, SMN)
O14893	GEMI2	SMN-PolII-RHA complex
O14893	GEMI2	SMN complex (GEMIN5,2,3,4, SMN)
O14910	LIN7A	LIN2-LIN7-SAP97-MINT1 complex
O14910	LIN7A	LIN2-LIN7 complex
O14910	LIN7A	VAM1-VELI1 complex
O14920	IKKB	TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)
O14920	IKKB	TNF-alpha/NF-kappa B signaling complex 5
O14920	IKKB	IKBKB-CDC37-KIAA1967-HSP90AB1-HSP90AA1 complex
O14920	IKKB	I-kappa-B kinase (IKK) complex
O14920	IKKB	IKBKG-IKBKB  complex
O14920	IKKB	TNF-alpha/NF-kappa B signaling complex 6
O14920	IKKB	SRC-3 complex
O14925	TIM23	TIM (TIMM23, TIMM50) complex, mitochondrial
O14925	TIM23	APP-TIMM23 complex
O14925	TIM23	TIMM17-TIMM23 complex
O14925	TIM23	TIM (TIMM17ab, TIMM23, TIMM44) complex, mitochondrial
O14929	HAT1	Histone H3.3 complex
O14929	HAT1	Histone H3.1 complex
O14936	CSKP	LIN2-LIN7 complex
O14936	CSKP	CASK-LIN7C-APBA1 complex
O14936	CSKP	LIN2-LIN7-SAP97-MINT1 complex
O14936	CSKP	LIN2-SAP97 complex
O14964	HGS	RIN1-STAM2-HRS complex
O14965	AURKA	Tacc1-chTOG-AuroraA  complex
O14974	MYPT1	MRIP-MBS-RHOA complex
O14979	HNRDL	Large Drosha complex
O14980	XPO1	CRM1-Survivin-AuroraB mitotic complex
O14980	XPO1	CRM1-Survivin mitotic complex
O14980	XPO1	CRM1-RAN-PHAX-CBC complex (cap binding complex)
O14980	XPO1	Snurportin-CRM1-RanGTP complex
O15027	SC16A	TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)
O15042	SR140	17S U2 snRNP
O15066	KIF3B	KIF3A/B-PAR-3-aPKC-PAR-6 complex
O15084	ANR28	TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)
O15105	SMAD7	SMAD7-SMURF1 complex
O15105	SMAD7	TGF-beta receptor I-SMAD7-SMURF1 complex
O15105	SMAD7	SMAD7-SMURF1-TGF-beta receptor complex
O15105	SMAD7	SMAD7-SMURF2 complex
O15105	SMAD7	TGF-beta-receptor-SMAD7-SMURF2 complex
O15111	IKKA	CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex
O15111	IKKA	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O15111	IKKA	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
O15111	IKKA	TNF-alpha/NF-kappa B signaling complex 9
O15111	IKKA	TNF-alpha/NF-kappa B signaling complex 10
O15111	IKKA	I-kappa-B kinase (IKK) complex
O15111	IKKA	TNF-alpha/NF-kappa B signaling complex 5
O15111	IKKA	TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)
O15111	IKKA	IKBKG-CHUK complex
O15111	IKKA	TNF-alpha/Nf-kappa B signaling complex (RPL6, RPL30, RPS13, CHUK, DDX3X, NFKB2, NFKBIB, REL, IKBKG, NFKB1, MAP3K8, RELB, GLG1, NFKBIA, RELA, TNIP2,  GTF2I)
O15111	IKKA	TNF-alpha/NF-kappa B signaling complex 6
O15111	IKKA	TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)
O15111	IKKA	IKK-alpha--ER-alpha-AIB1 complex
O15111	IKKA	SRC-3 complex
O15116	LSM1	LSm1-7 complex
O15117	FYB	FYB-CARMA1-BCL-10-MALT1 complex
O15126	SCAM1	SCAMP1-SCAMP2-SCAMP3 complex
O15127	SCAM2	SCAMP1-SCAMP2-SCAMP3 complex
O15143	ARC1B	Arp2/3 protein complex
O15144	ARPC2	Arp2/3 protein complex
O15145	ARPC3	Arp2/3 protein complex
O15169	AXIN1	TGF-beta receptor I-Axin-SMAD3 complex
O15169	AXIN1	AXIN-MEKK4-CCD1 complex
O15169	AXIN1	Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex
O15169	AXIN1	DAXX-AXIN complex
O15169	AXIN1	DAXX-Axin-p53-HIPK2 complex
O15169	AXIN1	Axin-SMAD3 complex
O15169	AXIN1	Daxx-Axin-p53 complex
O15169	AXIN1	AXIN-APC-betaCatenin-GSK3B complex
O15198	SMAD9	BP-SMAD complex
O15212	PFD6	Prefoldin complex
O15212	PFD6	CCT:PFD complex, testis specific
O15212	PFD6	CCT:PFD complex
O15228	GNPAT	AGPS-GNPAT complex
O15235	RT12	55S ribosome, mitochondrial
O15239	NDUA1	Ecsit complex (ECSIT, MT-CO2, NDUFA1, MT-ND1, TRAF6, NDUFAF1)
O15265	ATX7	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O15269	SPTC1	Serine-palmitoyltransferase (SPT) complex
O15270	SPTC2	Serine-palmitoyltransferase (SPT) complex
O15287	FANCG	FA complex (Fanconi anemia complex), cytoplasmic
O15287	FANCG	FA complex (Fanconi anemia complex)
O15287	FANCG	Nucleic and chromatin Fanconi complex
O15294	OGT1	OGT-TRAK1-TRAK2 complex
O15297	PPM1D	CDC5L complex
O15315	RA51B	RAD51B-RAD51C complex
O15315	RA51B	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex
O15360	FANCA	FA complex (Fanconi anemia complex)
O15360	FANCA	Nucleic and chromatin Fanconi complex
O15360	FANCA	FA complex (Fanconi anemia complex), cytoplasmic
O15371	EIF3D	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)
O15372	EIF3H	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)
O15379	HDAC3	NCOR1 complex
O15379	HDAC3	Emerin regulatory complex
O15379	HDAC3	SMRT complex
O15379	HDAC3	NCOR2 complex
O15379	HDAC3	NCOR-HDAC3 complex
O15379	HDAC3	Kaiso-NCOR complex
O15379	HDAC3	Emerin complex 32
O15379	HDAC3	ANCO1-HDAC3  complex
O15379	HDAC3	NCOR complex
O15392	BIRC5	RasGAP-AURKA/AURKB-survivin complex
O15392	BIRC5	Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)
O15392	BIRC5	Survivin homodimer complex
O15392	BIRC5	CRM1-Survivin mitotic complex
O15392	BIRC5	Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)
O15392	BIRC5	CRM1-Survivin-AuroraB mitotic complex
O15392	BIRC5	BIRC5-AURKB-INCENP-EVI5 complex
O15400	STX7	Class C Vps complex (VPS11, VPS18, STX7)
O15446	RPA34	TNF-alpha/NF-kappa B signaling complex 5
O15457	MSH4	MSH4-MSH5-GPS2 complex
O15504	NUPL2	Nuclear pore complex
O15511	ARPC5	Arp2/3 protein complex
O15514	RPB4	BRCA1-core RNA polymerase II complex
O15514	RPB4	RNA polymerase II holoenzyme complex
O15514	RPB4	BRCA1-RNA polymerase II complex
O15514	RPB4	RNA polymerase II core complex
O15514	RPB4	RNA polymerase II (RNAPII)
O15519	CFLAR	Death induced signaling complex DISC (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced
O15519	CFLAR	Death induced signaling complex II (FADD, CASP8, CFLAR), cytosolic, CD95L induced
O15519	CFLAR	MRIT complex
O15550	KDM6A	UTX-MLL2/3 complex
O15550	KDM6A	PTIP-HMT complex
O43143	DHX15	18S U11/U12 snRNP
O43143	DHX15	17S U2 snRNP
O43143	DHX15	Large Drosha complex
O43157	PLXB1	PlexinB1-Nrp1 complex
O43157	PLXB1	PlexinC1-SEMA7A complex
O43196	MSH5	MSH4-MSH5-GPS2 complex
O43257	ZNHI1	SRCAP-associated chromatin remodeling complex
O43264	ZW10	SNARE complex (RINT1, ZW10, p31, Stx18)
O43264	ZW10	SNARE complex (RINT1, ZW10, p31)
O43290	SNUT1	C complex spliceosome
O43292	GPAA1	GAA1-GPI8-PIGT-PIG-PIGS complex
O43318	M3K7	TNF-alpha/NF-kappa B signaling complex 7
O43318	M3K7	TRAF6-TAK1 complex
O43390	HNRPR	H2AX complex, isolated from cells without IR exposure
O43390	HNRPR	C complex spliceosome
O43390	HNRPR	DGCR8 multiprotein complex
O43451	MGA	MLL1-WDR5 complex
O43463	SUV91	pRb2/p130-multimolecular complex (DNMT1, E2F4, SuV39H1, HDAC1, RBL2)
O43463	SUV91	MBD1-Suv39h1-HP1 complex
O43463	SUV91	pRb2/p130-multimolecular complex (RB2, E2F4, HDAC1, SUV39H1, P300)
O43464	HTRA2	LATS1-HTRA2-BIRC4 complex
O43502	RA51C	RAD51C-XRCC3 complex
O43502	RA51C	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex
O43502	RA51C	RAD51B-RAD51C complex
O43513	MED7	PC2 complex
O43513	MED7	Mediator complex
O43513	MED7	ARC-L complex
O43516	WIPF1	WIP-WASp-actin-myosin-IIa complex
O43521	B2L11	BIM-BCL2 complex
O43521	B2L11	BIM-BCL2xL complex
O43524	FOXO3	FOXO3-PCAF complex, oxidative stress stimulated
O43524	FOXO3	SMAD3-SMAD4-FOXO3 complex
O43524	FOXO3	FOXO3-SIRT1 complex, oxidative stress stimulated
O43524	FOXO3	FOXO3-TP53 complex, oxidative stress stimulated
O43524	FOXO3	SMAD3-SMAD4-FOXO3-FOXG1 complex
O43541	SMAD6	SMAD6-HOXA9 complex
O43541	SMAD6	SMAD6-HOXC8 complex
O43542	XRCC3	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex
O43542	XRCC3	RAD51C-XRCC3 complex
O43543	XRCC2	BLM-RAD51L3-XRCC2 complex
O43543	XRCC2	hRAD51C-hXRCC3 complex
O43543	XRCC2	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex
O43556	SGCE	UTM-SGCE-DAG1-CAV1-NOS3 complex
O43561	LAT	LAT-PLC-gamma-1-p85-GRB2-SOS signaling complex, C305 activated
O43561	LAT	LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated
O43561	LAT	LCK-SLP76-PLC-gamma-1-LAT complex, pervanadate-activated
O43561	LAT	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated
O43561	LAT	PLC-gamma-1-LAT-c-CBL complex, OKT3 stimulated
O43561	LAT	PLC-gamma-2-LAT complex
O43561	LAT	PLC-gamma-2-Syk-LAT-FcR-gamma complex
O43561	LAT	PLC-gamma-1-SLP-76-SOS1-LAT complex
O43615	TIM44	TIM (TIMM17ab, TIMM23, TIMM44) complex, mitochondrial
O43633	CHM2A	ESCRT-III complex
O43660	PLRG1	C complex spliceosome
O43660	PLRG1	CDC5L complex
O43660	PLRG1	CDC5L core complex
O43707	ACTN4	P2X7 receptor signalling complex
O43707	ACTN4	Ternary complex (LRRC7, CAMK2a, ACTN4)
O43719	HTSF1	RNA pol II containing coactivator complex Tat-SF
O43739	CYH3	GRASP-GRP1 complex
O43747	AP1G1	AP1G1-PACS1-FURIN complex
O43747	AP1G1	AP1 adaptor complex
O43747	AP1G1	APLG1-Rababtin5 complex
O43747	AP1G1	Gamma-BAR-AP1 complex
O43752	STX6	SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)
O43752	STX6	SNARE complex (VAMP3, VAMP4, VAMP8, STX6)
O43752	STX6	SNARE complex (VAMP3, STX6, VTI1A)
O43752	STX6	SNARE complex (STX6, SNAP23)
O43791	SPOP	Ubiquitin E3 ligase (SPOP, DAXX, CUL3)
O43791	SPOP	Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)
O43791	SPOP	Ubiquitin E3 ligase (BMI1, SPOP, CUL3)
O43809	CPSF5	CF IIAm complex (Cleavage factor IIAm complex)
O43809	CPSF5	Mammalian cleavage factor I (CF Im)
O43913	ORC5	ORC complex (origin recognition complex)
O43915	VEGFD	NRP2-VEGFD complex, heparin dependent
O43915	VEGFD	NRP1-VEGFD complex, heparin dependent
O43929	ORC4	ORC complex (origin recognition complex)
O43929	ORC4	Ku-ORC complex
O43933	PEX1	Pex26-Pex6-Pex1 complex
O60216	RAD21	Cohesin-SA2 complex
O60216	RAD21	Cohesin-SA1 complex
O60231	DHX16	CF IIAm complex (Cleavage factor IIAm complex)
O60244	MED14	ARC-L complex
O60244	MED14	Mediator complex
O60244	MED14	NAT complex
O60244	MED14	BRD4 complex
O60244	MED14	PC2 complex
O60244	MED14	TFTC-type histone acetyl transferase complex
O60260	PRKN2	HSP70-BAG5-PARK2 complex
O60264	SMCA5	Polycomb repressive complex 1 (PRC1, hPRC-H)
O60264	SMCA5	DNMT3B complex
O60264	SMCA5	HuCHRAC complex
O60264	SMCA5	ALL-1 supercomplex
O60264	SMCA5	Nucleolar remodeling complex (NoRC complex)
O60264	SMCA5	Remodeling and spacing factor (RSF) complex
O60271	JIP4	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O60296	TRAK2	OGT-TRAK1-TRAK2 complex
O60306	AQR	C complex spliceosome
O60313	OPA1	Mediator complex
O60315	ZEB2	CtBP complex
O60341	KDM1A	HDAC1-associated protein complex
O60341	KDM1A	BRAF53-BRCA2 complex
O60341	KDM1A	anti-BHC110 complex
O60341	KDM1A	Anti-HDAC2 complex
O60341	KDM1A	CoREST-HDAC complex
O60341	KDM1A	LSD1-CoREST complex
O60341	KDM1A	CtBP complex
O60341	KDM1A	NRD complex (Nucleosome remodeling and deacetylation complex)
O60341	KDM1A	LSD1 complex
O60341	KDM1A	HDAC1-associated core complex cI
O60341	KDM1A	XFIM complex
O60341	KDM1A	ALL-1 supercomplex
O60447	EVI5	BIRC5-AURKB-INCENP-EVI5 complex
O60462	NRP2	PlexinA1-Nrp2 complex
O60462	NRP2	NRP2-VEGFD complex, heparin dependent
O60462	NRP2	NRP2-VEGFC complex
O60462	NRP2	NRP2-VEGFR3 complex
O60486	PLXC1	PlexinC1-SEMA7A complex
O60506	HNRPQ	C complex spliceosome
O60506	HNRPQ	GAIT complex
O60508	PRP17	C complex spliceosome
O60563	CCNT1	BRD4 complex
O60563	CCNT1	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex
O60563	CCNT1	P-TEFb-BRD4-TRAP220 complex
O60563	CCNT1	BRD4-P-TEFb complex
O60563	CCNT1	P-TEFb-SKP2 complex
O60563	CCNT1	P-TEFb-7SKRNA-HEXIM1 complex
O60563	CCNT1	HES1 promoter-Notch enhancer complex
O60664	PLIN3	RAB9-TIP47-MPRI complex
O60671	RAD1	FEN1-9-1-1 complex
O60671	RAD1	LIG1-9-1-1 complex
O60671	RAD1	RAD17-RFC-9-1-1 checkpoint supercomplex
O60674	JAK2	JAK2-PAFR-TYK2 complex
O60749	SNX2	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)
O60749	SNX2	SNX complex (SNX2), oligomeric
O60749	SNX2	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)
O60749	SNX2	SNX complex (SNX1a, SNX2, SNX4)
O60762	DPM1	Dolichol-phosphate mannose (DPM) synthase
O60783	RT14	55S ribosome, mitochondrial
O60830	TI17B	TIM (TIMM17ab, TIMM23, TIMM44) complex, mitochondrial
O60870	KIN17	KIN17-PCNA-RPA70 complex
O60885	BRD4	BRD4-P-TEFb complex
O60885	BRD4	BRD4-RFC complex
O60885	BRD4	BRD4 complex
O60885	BRD4	P-TEFb-BRD4-TRAP220 complex
O60894	RAMP1	CRLR-RAMP1 complex
O60894	RAMP1	CRLR-RAMP1-ARRB2 complex
O60894	RAMP1	CRLR-RAMP1 complex
O60895	RAMP2	CRLR-RAMP2 complex
O60896	RAMP3	CRLR-RAMP3 complex
O60907	TBL1X	SMRT complex
O60907	TBL1X	NCOR-HDAC3 complex
O60907	TBL1X	Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)
O60907	TBL1X	Kaiso-NCOR complex
O60907	TBL1X	NCOR complex
O60921	HUS1	FEN1-9-1-1 complex
O60921	HUS1	LIG1-9-1-1 complex
O60921	HUS1	RAD17-RFC-9-1-1 checkpoint supercomplex
O60925	PFD1	Prefoldin complex
O60925	PFD1	CCT:PFD complex, testis specific
O60925	PFD1	CCT:PFD complex
O60934	NBN	BASC complex (BRCA1-associated genome surveillance complex)
O60934	NBN	BRCA1-BARD1-BACH1-DNA damage complex II
O60934	NBN	MDC1-MRN-ATM-FANCD2 complex
O60934	NBN	DNA double-strand break end-joining complex
O60934	NBN	MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)
O60934	NBN	ATM-NBS1 complex
O60934	NBN	RAD50-MRE11-NBN-p200-p350 complex
O60934	NBN	PTIP-DNA damage response complex
O60934	NBN	MDC1-MRE11-RAD50-NBS1 complex
O75051	PLXA2	PLXNA2-RANBPM complex
O75051	PLXA2	FARP2-NRP1-PlexinA2 complex
O75146	HIP1R	Hip1R-cortactin complex
O75164	KDM4A	Kaiso-NCOR complex
O75170	PP6R2	TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)
O75182	SIN3B	NCOR-SIN3-HDAC-HESX1 complex
O75182	SIN3B	BRMS1-SIN3-HDAC complex
O75182	SIN3B	NCOR-SIN3-RPD3 complex
O75293	GA45B	CDC2-PCNA-CCNB1-GADD45B complex
O75326	SEM7A	PlexinC1-SEMA7A complex
O75362	ZN217	anti-BHC110 complex
O75362	ZN217	LSD1 complex
O75362	ZN217	CoREST-HDAC complex
O75362	ZN217	CtBP complex
O75367	H2AY	Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)
O75376	NCOR1	NCOR2 complex
O75376	NCOR1	SMAD4-SKI-NCOR complex
O75376	NCOR1	NCOR1 complex
O75376	NCOR1	NCOR complex
O75376	NCOR1	SKI-NCOR1-SIN3A-HDAC1 complex
O75376	NCOR1	SMAD3-SKI-NCOR complex
O75376	NCOR1	Kaiso-NCOR complex
O75376	NCOR1	NCOR-HDAC3 complex
O75376	NCOR1	SMAD2-SKI-NCOR complex
O75379	VAMP4	SNARE complex (VAMP3, VAMP4, VAMP8, STX6)
O75379	VAMP4	SNARE complex (VAMP3, VAMP4, STX16)
O75379	VAMP4	SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)
O75390	CISY	CS-MAP3K7IP1-MAP3K7IP2 complex
O75394	RM33	55S ribosome, mitochondrial
O75410	TACC1	Tacc1-chTOG-AuroraA  complex
O75436	VP26A	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)
O75446	SAP30	SIN3-ING1b complex I
O75446	SAP30	NCOR2 complex
O75446	SAP30	SIN3-ING1b complex II
O75446	SAP30	ALL-1 supercomplex
O75446	SAP30	BRMS1-SIN3-HDAC complex
O75446	SAP30	SIN3-SAP25 complex
O75446	SAP30	SIN3 complex
O75446	SAP30	ING2 complex
O75448	MED24	PC2 complex
O75448	MED24	Mediator complex
O75448	MED24	ARC-L complex
O75448	MED24	TFTC-type histone acetyl transferase complex
O75448	MED24	BRD4 complex
O75461	E2F6	MLL1-WDR5 complex
O75486	SUPT3	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O75486	SUPT3	STAGA core complex (SPT3-TAF9-GCN5 acetyltransferase complex)
O75489	NDUS3	Ecsit complex (ECSIT, NDUFS3, TOM20)
O75489	NDUS3	Ecsit complex (ECSIT, NDUFS3, NDUFAF1)
O75496	GEMI	BRCA1-IRIS-pre-replication complex
O75528	TADA3	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O75529	TAF5L	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O75530	EED	Polycomb repressive complex 2 (PRC2)
