id	gene_symbol	complex
YMR108W	ILV2	acetolactate synthase complex (GO)
YJL005W	CYR1	adenylyl cyclase complex
YNL138W	SRV2	adenylyl cyclase complex
YBL035C	POL12	alpha DNA polymerase:primase complex
YIR008C	PRI1	alpha DNA polymerase:primase complex
YKL045W	PRI2	alpha DNA polymerase:primase complex
YNL102W	POL1	alpha DNA polymerase:primase complex
YDR245W	MNN10	"alpha-1,6-mannosyltransferase complex"
YEL036C	ANP1	"alpha-1,6-mannosyltransferase complex"
YJL183W	MNN11	"alpha-1,6-mannosyltransferase complex"
YJR075W	HOC1	"alpha-1,6-mannosyltransferase complex"
YPL050C	MNN9	"alpha-1,6-mannosyltransferase complex"
YBR229C	ROT2	alpha-glucosidase II complex
YDR221W	GTB1	alpha-glucosidase II complex
YBR126C	TPS1	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YDR074W	TPS2	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YML100W	TSL1	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YMR261C	TPS3	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YBL084C	CDC27	anaphase-promoting complex
YDR118W	APC4	anaphase-promoting complex
YDR260C	SWM1	anaphase-promoting complex
YFR036W	CDC26	anaphase-promoting complex
YGL240W	DOC1	anaphase-promoting complex
YHR166C	CDC23	anaphase-promoting complex
YIR025W	MND2	anaphase-promoting complex
YKL022C	CDC16	anaphase-promoting complex
YLR102C	APC9	anaphase-promoting complex
YLR127C	APC2	anaphase-promoting complex
YNL172W	APC1	anaphase-promoting complex
YOR249C	APC5	anaphase-promoting complex
YER090W	TRP2	anthranilate synthase complex
YKL211C	TRP3	anthranilate synthase complex
YFL034W	YFL034W	AP-1 adaptor complex
YHL019C	APM2	AP-1 adaptor complex
YKL135C	APL2	AP-1 adaptor complex
YLR170C	APS1	AP-1 adaptor complex
YPL259C	APM1	AP-1 adaptor complex
YPR029C	APL4	AP-1 adaptor complex
YBL037W	APL3	AP-2 adaptor complex
YJR005W	APL1	AP-2 adaptor complex
YJR058C	APS2	AP-2 adaptor complex
YOL062C	APM4	AP-2 adaptor complex
YBR288C	APM3	AP-3 adaptor complex
YGR261C	APL6	AP-3 adaptor complex
YJL024C	APS3	AP-3 adaptor complex
YPL195W	APL5	AP-3 adaptor complex
YBR234C	ARC40	Arp2-3 protein complex
YDL029W	ARP2	Arp2-3 protein complex
YIL062C	ARC15	Arp2-3 protein complex
YJR065C	ARP3	Arp2-3 protein complex
YKL013C	ARC19	Arp2-3 protein complex
YLR370C	ARC18	Arp2-3 protein complex
YNR035C	ARC35	Arp2-3 protein complex
YJL115W	ASF1	Asf1-Rad53 complex
YPL153C	RAD53	Asf1-Rad53 complex
YDR022C	CIS1	Atg11-Atg17-Atg29-Cis1 complex
YLR423C	ATG17	Atg11-Atg17-Atg29-Cis1 complex
YPL166W	ATG29	Atg11-Atg17-Atg29-Cis1 complex
YPR049C	ATG11	Atg11-Atg17-Atg29-Cis1 complex
YDL014W	NOP1	box C/D snoRNP complex (GO)
YEL026W	SNU13	box C/D snoRNP complex (GO)
YLR197W	NOP56	box C/D snoRNP complex (GO)
YOR310C	NOP58	box C/D snoRNP complex (GO)
YHR089C	GAR1	box H/ACA snoRNP complex (GO)
YLR175W	CBF5	box H/ACA snoRNP complex (GO)
YGR188C	BUB1	Bub1-Bub3 kinase complex
YOR026W	BUB3	Bub1-Bub3 kinase complex
YLR226W	BUR2	Bur1-Bur2 CDK-cyclin complex
YPR161C	SGV1	Bur1-Bur2 CDK-cyclin complex
YGL155W	CDC43	CAAX-protein geranylgeranyltransferase complex
YKL019W	RAM2	CAAX-protein geranylgeranyltransferase complex
YBR195C	MSI1	CAF-1 complex
YML102W	CAC2	CAF-1 complex
YPR018W	RLF2	CAF-1 complex
YKL190W	CNB1	calcineurin complex
YML057W	CMP2	calcineurin complex
YKL159C	RCN1	calcineurin complex (GO)
YKL190W	CNB1	calcineurin complex (GO)
YLR433C	CNA1	calcineurin complex (GO)
YML057W	CMP2	calcineurin complex (GO)
YIL033C	BCY1	cAMP-dependent protein kinase complex
YJL164C	TPK1	cAMP-dependent protein kinase complex
YKL166C	TPK3	cAMP-dependent protein kinase complex
YPL203W	TPK2	cAMP-dependent protein kinase complex
YJR109C	CPA2	carbamoyl-phosphate synthase complex
YOR303W	CPA1	carbamoyl-phosphate synthase complex
YJL006C	CTK2	carboxy-terminal domain protein kinase complex
YKL139W	CTK1	carboxy-terminal domain protein kinase complex
YML112W	CTK3	carboxy-terminal domain protein kinase complex
YDR328C	SKP1	CBF3 complex (GO)
YGR140W	CBF2	CBF3 complex (GO)
YMR094W	CTF13	CBF3 complex (GO)
YMR168C	CEP3	CBF3 complex (GO)
YBL021C	HAP3	CCAAT-binding factor complex
YGL237C	HAP2	CCAAT-binding factor complex
YOR358W	HAP5	CCAAT-binding factor complex
YAL021C	CCR4	CCR4-NOT complex
YCR093W	CDC39	CCR4-NOT complex
YER068W	MOT2	CCR4-NOT complex
YGR134W	CAF130	CCR4-NOT complex
YNL288W	CAF40	CCR4-NOT complex
YNR052C	POP2	CCR4-NOT complex
YFL028C	CAF16	CCR4-NOT complex (GO)
YGR134W	CAF130	CCR4-NOT complex (GO)
YKR036C	CAF4	CCR4-NOT complex (GO)
YNL278W	CAF120	CCR4-NOT complex (GO)
YNL288W	CAF40	CCR4-NOT complex (GO)
YDL165W	CDC36	CCR4-NOT Not2-Not5 subcomplex
YPR072W	NOT5	CCR4-NOT Not2-Not5 subcomplex
YBL058W	SHP1	Cdc48-Shp1 complex
YDL126C	CDC48	Cdc48-Shp1 complex
YBR170C	NPL4	Cdc48-Ufd1-Npl4 complex
YDL126C	CDC48	Cdc48-Ufd1-Npl4 complex
YGR048W	UFD1	Cdc48-Ufd1-Npl4 complex
YBR279W	PAF1	Cdc73-Paf1 complex
YGL244W	RTF1	Cdc73-Paf1 complex
YLR418C	CDC73	Cdc73-Paf1 complex
YOL145C	CTR9	Cdc73-Paf1 complex
YOR123C	LEO1	Cdc73-Paf1 complex
YDL143W	CCT4	chaperonin-containing T-complex
YDR188W	CCT6	chaperonin-containing T-complex
YIL142W	CCT2	chaperonin-containing T-complex
YJL008C	CCT8	chaperonin-containing T-complex
YJL014W	CCT3	chaperonin-containing T-complex
YJL111W	CCT7	chaperonin-containing T-complex
YJR064W	CCT5	chaperonin-containing T-complex
YNL212W	VID27	chaperonin-containing T-complex
YOR281C	PLP2	chaperonin-containing T-complex
YDR121W	DPB4	chromatin accessibility complex (GO)
YGL133W	ITC1	chromatin accessibility complex (GO)
YJL065C	DLS1	chromatin accessibility complex (GO)
YOR304W	ISW2	chromatin accessibility complex (GO)
YER030W	CHZ1	chromatin assembly complex (GO)
YJL115W	ASF1	chromatin assembly complex (GO)
YOL012C	HTZ1	chromatin assembly complex (GO)
YBR195C	MSI1	chromatin silencing complex (GO)
YDR227W	SIR4	chromatin silencing complex (GO)
YKR101W	SIR1	chromatin silencing complex (GO)
YLR442C	SIR3	chromatin silencing complex (GO)
YGL206C	CHC1	Clathrin
YGR167W	CLC1	Clathrin
YDR228C	PCF11	cleavage factor I complex
YGL044C	RNA15	cleavage factor I complex
YMR061W	RNA14	cleavage factor I complex
YOR250C	CLP1	cleavage factor I complex
YBR135W	CKS1	Cln-Cdc28 protein kinase complex
YBR160W	CDC28	Cln-Cdc28 protein kinase complex
YDL155W	CLB3	Cln-Cdc28 protein kinase complex
YKR091W	SRL3	Cln-Cdc28 protein kinase complex
YLR079W	SIC1	Cln-Cdc28 protein kinase complex
YLR210W	CLB4	Cln-Cdc28 protein kinase complex
YMR199W	CLN1	Cln-Cdc28 protein kinase complex
YPL256C	CLN2	Cln-Cdc28 protein kinase complex
YDR180W	SCC2	cohesin loading complex (GO)
YER147C	SCC4	cohesin loading complex (GO)
YBR107C	IML3	COMA complex
YBR211C	AME1	COMA complex
YDR254W	CHL4	COMA complex
YDR318W	MCM21	COMA complex
YDR383C	NKP1	COMA complex
YGR179C	OKP1	COMA complex
YJR135C	MCM22	COMA complex
YLR315W	NKP2	COMA complex
YLR381W	CTF3	COMA complex
YPL018W	CTF19	COMA complex
YPR046W	MCM16	COMA complex
YDR240C	SNU56	commitment complex (GO)
YGR074W	SMD1	commitment complex (GO)
YHR086W	NAM8	commitment complex (GO)
YIL061C	SNP1	commitment complex (GO)
YKL074C	MUD2	commitment complex (GO)
YLR116W	MSL5	commitment complex (GO)
YLR147C	SMD3	commitment complex (GO)
YLR298C	YHC1	commitment complex (GO)
YML046W	PRP39	commitment complex (GO)
YMR125W	STO1	commitment complex (GO)
YPL178W	CBC2	commitment complex (GO)
YKL074C	MUD2	commitment complex 2
YLR116W	MSL5	commitment complex 2
YAR003W	SWD1	COMPASS complex
YBR175W	SWD3	COMPASS complex
YBR258C	SHG1	COMPASS complex
YDR469W	SDC1	COMPASS complex
YHR119W	SET1	COMPASS complex
YKL018W	SWD2	COMPASS complex
YLR015W	BRE2	COMPASS complex
YPL138C	SPP1	COMPASS complex
YDL145C	COP1	COPI vesicle coat
YDR238C	SEC26	COPI vesicle coat
YER122C	GLO3	COPI vesicle coat
YFR051C	RET2	COPI vesicle coat
YGL137W	SEC27	COPI vesicle coat
YIL076W	SEC28	COPI vesicle coat
YNL287W	SEC21	COPI vesicle coat
YPL010W	RET3	COPI vesicle coat
YDL208W	NHP2	core H-ACA snoRNP
YHR072W-A	NOP10	core H-ACA snoRNP
YHR089C	GAR1	core H-ACA snoRNP
YLR175W	CBF5	core H-ACA snoRNP
YNL308C	KRI1	core H-ACA snoRNP
YDR311W	TFB1	core TFIIH complex
YLR005W	SSL1	core TFIIH complex
YPR056W	TFB4	core TFIIH complex
YAL043C	PTA1	CPF complex
YDR195W	REF2	CPF complex
YDR301W	CFT1	CPF complex
YER133W	GLC7	CPF complex
YGR156W	PTI1	CPF complex
YJR093C	FIP1	CPF complex
YKL018W	SWD2	CPF complex
YKL059C	MPE1	CPF complex
YKR002W	PAP1	CPF complex
YLR115W	CFT2	CPF complex
YLR277C	YSH1	CPF complex
YMR061W	RNA14	CPF complex
YNL222W	SSU72	CPF complex
YNL317W	PFS2	CPF complex
YOR179C	SYC1	CPF complex
YPR107C	YTH1	CPF complex
YLR216C	CPR6	Cpr6-Hsc82-Sti1-Hsp82 complex
YMR186W	HSC82	Cpr6-Hsc82-Sti1-Hsp82 complex
YOR027W	STI1	Cpr6-Hsc82-Sti1-Hsp82 complex
YPL240C	HSP82	Cpr6-Hsc82-Sti1-Hsp82 complex
YMR048W	CSM3	Csm3-Tof1 complex
YNL273W	TOF1	Csm3-Tof1 complex
YCL016C	DCC1	Ctf18 RFC-like complex
YHR191C	CTF8	Ctf18 RFC-like complex
YMR078C	CTF18	Ctf18 RFC-like complex
YBR114W	RAD16	Cul3-RING ubiquitin ligase complex (GO)
YGR003W	CUL3	Cul3-RING ubiquitin ligase complex (GO)
YJR052W	RAD7	Cul3-RING ubiquitin ligase complex (GO)
YNL230C	ELA1	Cul3-RING ubiquitin ligase complex (GO)
YPL046C	ELC1	Cul3-RING ubiquitin ligase complex (GO)
YCL031C	RRP7	CURI complex (GO)
YGR090W	UTP22	CURI complex (GO)
YLR223C	IFH1	CURI complex (GO)
YOR039W	CKB2	CURI complex (GO)
YPR104C	FHL1	CURI complex (GO)
YBR112C	CYC8	Cyc8-Tup1 corepressor complex
YCR084C	TUP1	Cyc8-Tup1 corepressor complex
YBR135W	CKS1	cyclin-dependent protein kinase holoenzyme complex (GO)
YBR160W	CDC28	cyclin-dependent protein kinase holoenzyme complex (GO)
YDL127W	PCL2	cyclin-dependent protein kinase holoenzyme complex (GO)
YDL179W	PCL9	cyclin-dependent protein kinase holoenzyme complex (GO)
YER059W	PCL6	cyclin-dependent protein kinase holoenzyme complex (GO)
YGL134W	PCL10	cyclin-dependent protein kinase holoenzyme complex (GO)
YGL215W	CLG1	cyclin-dependent protein kinase holoenzyme complex (GO)
YHR071W	PCL5	cyclin-dependent protein kinase holoenzyme complex (GO)
YIL050W	PCL7	cyclin-dependent protein kinase holoenzyme complex (GO)
YNL289W	PCL1	cyclin-dependent protein kinase holoenzyme complex (GO)
YOL001W	PHO80	cyclin-dependent protein kinase holoenzyme complex (GO)
YPL219W	PCL8	cyclin-dependent protein kinase holoenzyme complex (GO)
YPL256C	CLN2	cyclin-dependent protein kinase holoenzyme complex (GO)
YDL067C	COX9	"cytochome c oxidase complex, subunits IV, Va, VI and VIIa"
YGL187C	COX4	"cytochome c oxidase complex, subunits IV, Va, VI and VIIa"
YHR051W	COX6	"cytochome c oxidase complex, subunits IV, Va, VI and VIIa"
YNL052W	COX5A	"cytochome c oxidase complex, subunits IV, Va, VI and VIIa"
YDR424C	DYN2	cytoplasmic dynein complex (GO)
YDR488C	PAC11	cytoplasmic dynein complex (GO)
YKR054C	DYN1	cytoplasmic dynein complex (GO)
YMR299C	DYN3	cytoplasmic dynein complex (GO)
YBL027W	RPL19B	cytosolic large ribosomal subunit
YBL092W	RPL32	cytosolic large ribosomal subunit
YBR031W	RPL4A	cytosolic large ribosomal subunit
YBR181C	RPS6B	cytosolic large ribosomal subunit
YBR191W	RPL21A	cytosolic large ribosomal subunit
YCR031C	RPS14A	cytosolic large ribosomal subunit
YDL075W	RPL31A	cytosolic large ribosomal subunit
YDL082W	RPL13A	cytosolic large ribosomal subunit
YDL083C	RPS16B	cytosolic large ribosomal subunit
YDL136W	RPL35B	cytosolic large ribosomal subunit
YDR012W	RPL4B	cytosolic large ribosomal subunit
YDR382W	RPP2B	cytosolic large ribosomal subunit
YDR418W	RPL12B	cytosolic large ribosomal subunit
YDR447C	RPS17B	cytosolic large ribosomal subunit
YDR471W	RPL27B	cytosolic large ribosomal subunit
YER074W	RPS24A	cytosolic large ribosomal subunit
YFR031C-A	RPL2A	cytosolic large ribosomal subunit
YFR032C-A	RPL29	cytosolic large ribosomal subunit
YGL014W	PUF4	cytosolic large ribosomal subunit
YGL030W	RPL30	cytosolic large ribosomal subunit
YGL031C	RPL24A	cytosolic large ribosomal subunit
YGL076C	RPL7A	cytosolic large ribosomal subunit
YGL103W	RPL28	cytosolic large ribosomal subunit
YGL123W	RPS2	cytosolic large ribosomal subunit
YGL135W	RPL1B	cytosolic large ribosomal subunit
YGL147C	RPL9A	cytosolic large ribosomal subunit
YGR034W	RPL26B	cytosolic large ribosomal subunit
YGR085C	RPL11B	cytosolic large ribosomal subunit
YGR118W	RPS23A	cytosolic large ribosomal subunit
YHL001W	RPL14B	cytosolic large ribosomal subunit
YHL033C	RPL8A	cytosolic large ribosomal subunit
YHR141C	RPL42B	cytosolic large ribosomal subunit
YIL018W	RPL2B	cytosolic large ribosomal subunit
YIL133C	RPL16A	cytosolic large ribosomal subunit
YJL177W	RPL17B	cytosolic large ribosomal subunit
YJR123W	RPS5	cytosolic large ribosomal subunit
YKL180W	RPL17A	cytosolic large ribosomal subunit
YLL045C	RPL8B	cytosolic large ribosomal subunit
YLR029C	RPL15A	cytosolic large ribosomal subunit
YLR075W	RPL10	cytosolic large ribosomal subunit
YLR150W	STM1	cytosolic large ribosomal subunit
YLR287C-A	RPS30A	cytosolic large ribosomal subunit
YLR340W	RPP0	cytosolic large ribosomal subunit
YLR441C	RPS1A	cytosolic large ribosomal subunit
YLR448W	RPL6B	cytosolic large ribosomal subunit
YML063W	RPS1B	cytosolic large ribosomal subunit
YML073C	RPL6A	cytosolic large ribosomal subunit
YMR142C	RPL13B	cytosolic large ribosomal subunit
YMR194W	RPL36A	cytosolic large ribosomal subunit
YMR242C	RPL20A	cytosolic large ribosomal subunit
YNL069C	RPL16B	cytosolic large ribosomal subunit
YNL096C	RPS7B	cytosolic large ribosomal subunit
YNL178W	RPS3	cytosolic large ribosomal subunit
YNL301C	RPL18B	cytosolic large ribosomal subunit
YNL302C	RPS19B	cytosolic large ribosomal subunit
YOL039W	RPP2A	cytosolic large ribosomal subunit
YOL040C	RPS15	cytosolic large ribosomal subunit
YOL127W	RPL25	cytosolic large ribosomal subunit
YOR063W	RPL3	cytosolic large ribosomal subunit
YOR312C	RPL20B	cytosolic large ribosomal subunit
YPL090C	RPS6A	cytosolic large ribosomal subunit
YPL198W	RPL7B	cytosolic large ribosomal subunit
YPL220W	RPL1A	cytosolic large ribosomal subunit
YPL249C-A	RPL36B	cytosolic large ribosomal subunit
YBL072C	RPS8A	cytosolic small ribosomal subunit
YBR048W	RPS11B	cytosolic small ribosomal subunit
YBR189W	RPS9B	cytosolic small ribosomal subunit
YDR025W	RPS11A	cytosolic small ribosomal subunit
YDR064W	RPS13	cytosolic small ribosomal subunit
YER102W	RPS8B	cytosolic small ribosomal subunit
YHR203C	RPS4B	cytosolic small ribosomal subunit
YIL069C	RPS24B	cytosolic small ribosomal subunit
YJL190C	RPS22A	cytosolic small ribosomal subunit
YJR145C	RPS4A	cytosolic small ribosomal subunit
YLR367W	RPS22B	cytosolic small ribosomal subunit
YML024W	RPS17A	cytosolic small ribosomal subunit
YOR096W	RPS7A	cytosolic small ribosomal subunit
YOR204W	DED1	cytosolic small ribosomal subunit
YPL081W	RPS9A	cytosolic small ribosomal subunit
YBR233W-A	DAD3	DASH complex
YDR016C	DAD1	DASH complex
YDR201W	SPC19	DASH complex
YGL061C	DUO1	DASH complex
YGR113W	DAM1	DASH complex
YKL052C	ASK1	DASH complex
YKL138C-A	HSK3	DASH complex
YKR037C	SPC34	DASH complex
YKR083C	DAD2	DASH complex
YDL017W	CDC7	Dbf4-dependent protein kinase complex (GO)
YDR052C	DBF4	Dbf4-dependent protein kinase complex (GO)
YBR094W	PBY1	Dcp1-Dcp2 decapping enzyme complex
YEL015W	EDC3	Dcp1-Dcp2 decapping enzyme complex
YNL118C	DCP2	Dcp1-Dcp2 decapping enzyme complex
YOL149W	DCP1	Dcp1-Dcp2 decapping enzyme complex
YLR270W	DCS1	Dcs1-Dcs2 heterodimer
YOR173W	DCS2	Dcs1-Dcs2 heterodimer
YDL102W	POL3	delta DNA polymerase complex
YJR006W	POL31	delta DNA polymerase complex
YJR043C	POL32	delta DNA polymerase complex
YGL090W	LIF1	DNA ligase IV complex (GO)
YLR265C	NEJ1	DNA ligase IV complex (GO)
YOR005C	DNL4	DNA ligase IV complex (GO)
YAR007C	RFA1	DNA replication factor A complex
YHR164C	DNA2	DNA replication factor A complex
YJL173C	RFA3	DNA replication factor A complex
YNL312W	RFA2	DNA replication factor A complex
YBR236C	ABD1	"DNA-directed RNA polymerase II, holoenzyme (GO)"
YDL115C	IWR1	"DNA-directed RNA polymerase II, holoenzyme (GO)"
YGR097W	ASK10	"DNA-directed RNA polymerase II, holoenzyme (GO)"
YDR141C	DOP1	Dop1-Mon2 complex
YNL297C	MON2	Dop1-Mon2 complex
YBL071W-A	KTI11	Dph1-Dph2-Dph3 complex
YIL103W	DPH1	Dph1-Dph2-Dph3 complex
YKL191W	DPH2	Dph1-Dph2-Dph3 complex
YGR063C	SPT4	DSIF complex (GO)
YML010W	SPT5	DSIF complex (GO)
YBR281C	DUG2	Dug2-Dug3 complex
YNL191W	DUG3	Dug2-Dug3 complex
YDR106W	ARP10	dynactin complex (GO)
YHR129C	ARP1	dynactin complex (GO)
YMR294W	JNM1	dynactin complex (GO)
YPL174C	NIP100	dynactin complex (GO)
YGR262C	BUD32	EKC-KEOPS protein complex
YJL184W	GON7	EKC-KEOPS protein complex
YKR038C	KAE1	EKC-KEOPS protein complex
YML036W	CGI121	EKC-KEOPS protein complex
YBR087W	RFC5	Elg1 RFC-like complex
YJR068W	RFC2	Elg1 RFC-like complex
YNL290W	RFC3	Elg1 RFC-like complex
YOL094C	RFC4	Elg1 RFC-like complex
YOR144C	ELG1	Elg1 RFC-like complex
YOR217W	RFC1	Elg1 RFC-like complex
YGR200C	ELP2	Elongator holoenzyme complex
YHR187W	IKI1	Elongator holoenzyme complex
YLR384C	IKI3	Elongator holoenzyme complex
YMR312W	ELP6	Elongator holoenzyme complex
YPL086C	ELP3	Elongator holoenzyme complex
YPL101W	ELP4	Elongator holoenzyme complex
YBR171W	SEC66	endoplasmic reticulum Sec complex
YLR292C	SEC72	endoplasmic reticulum Sec complex
YOR254C	SEC63	endoplasmic reticulum Sec complex
YPL094C	SEC62	endoplasmic reticulum Sec complex
YBR278W	DPB3	epsilon DNA polymerase complex
YDR121W	DPB4	epsilon DNA polymerase complex
YNL262W	POL2	epsilon DNA polymerase complex
YPR175W	DPB2	epsilon DNA polymerase complex
YDR498C	SEC20	ER SNARE Use1
YGL098W	USE1	ER SNARE Use1
YGL145W	TIP20	ER SNARE Use1
YKL196C	YKT6	ER SNARE Use1
YLR268W	SEC22	ER SNARE Use1
YLR440C	SEC39	ER SNARE Use1
YNL258C	DSL1	ER SNARE Use1
YOR075W	UFE1	ER SNARE Use1
YAL007C	ERP2	Erp1-Erp2-Emp24-Erv25 p24 complex
YAR002C-A	ERP1	Erp1-Erp2-Emp24-Erv25 p24 complex
YGL200C	EMP24	Erp1-Erp2-Emp24-Erv25 p24 complex
YML012W	ERV25	Erp1-Erp2-Emp24-Erv25 p24 complex
YCL008C	STP22	ESCRT I complex
YGR206W	MVB12	ESCRT I complex
YLR119W	SRN2	ESCRT I complex
YPL065W	VPS28	ESCRT I complex
YJR102C	VPS25	ESCRT II complex
YLR417W	VPS36	ESCRT II complex
YPL002C	SNF8	ESCRT II complex
YKL002W	DID4	ESCRT III complex (GO)
YKL041W	VPS24	ESCRT III complex (GO)
YLR025W	SNF7	ESCRT III complex (GO)
YMR077C	VPS20	ESCRT III complex (GO)
YHL002W	HSE1	ESCRT-0 complex
YNR006W	VPS27	ESCRT-0 complex
YAL003W	EFB1	eukaryotic translation elongation factor 1 complex
YKL081W	TEF4	eukaryotic translation elongation factor 1 complex
YPL048W	CAM1	eukaryotic translation elongation factor 1 complex
YPR080W	TEF1	eukaryotic translation elongation factor 1 complex
YDR211W	GCD6	eukaryotic translation initiation factor 2B complex
YER025W	GCD11	eukaryotic translation initiation factor 2B complex
YGR083C	GCD2	eukaryotic translation initiation factor 2B complex
YJR007W	SUI2	eukaryotic translation initiation factor 2B complex
YKR026C	GCN3	eukaryotic translation initiation factor 2B complex
YLR215C	CDC123	eukaryotic translation initiation factor 2B complex
YLR291C	GCD7	eukaryotic translation initiation factor 2B complex
YOR260W	GCD1	eukaryotic translation initiation factor 2B complex
YPL237W	SUI3	eukaryotic translation initiation factor 2B complex
YAL035W	FUN12	eukaryotic translation initiation factor 3 complex
YBR079C	RPG1	eukaryotic translation initiation factor 3 complex
YDR091C	RLI1	eukaryotic translation initiation factor 3 complex
YDR429C	TIF35	eukaryotic translation initiation factor 3 complex
YLR192C	HCR1	eukaryotic translation initiation factor 3 complex
YMR146C	TIF34	eukaryotic translation initiation factor 3 complex
YMR309C	NIP1	eukaryotic translation initiation factor 3 complex
YNL244C	SUI1	eukaryotic translation initiation factor 3 complex
YOR361C	PRT1	eukaryotic translation initiation factor 3 complex
YPR041W	TIF5	eukaryotic translation initiation factor 3 complex
YER165W	PAB1	eukaryotic translation initiation factor 4F complex
YGL049C	TIF4632	eukaryotic translation initiation factor 4F complex
YGR162W	TIF4631	eukaryotic translation initiation factor 4F complex
YOL139C	CDC33	eukaryotic translation initiation factor 4F complex
YBR102C	EXO84	exocyst
YDR166C	SEC5	exocyst
YER008C	SEC3	exocyst
YGL233W	SEC15	exocyst
YIL068C	SEC6	exocyst
YJL085W	EXO70	exocyst
YLR166C	SEC10	exocyst
YPR055W	SEC8	exocyst
YJL099W	CHS6	exomer complex
YKR027W	BCH2	exomer complex
YLR330W	CHS5	exomer complex
YMR237W	BCH1	exomer complex
YOR299W	BUD7	exomer complex
YCR035C	RRP43	exosome (RNase complex)
YDL111C	RRP42	exosome (RNase complex)
YDR280W	RRP45	exosome (RNase complex)
YGR095C	RRP46	exosome (RNase complex)
YGR158C	MTR3	exosome (RNase complex)
YGR195W	SKI6	exosome (RNase complex)
YHR069C	RRP4	exosome (RNase complex)
YHR081W	LRP1	exosome (RNase complex)
YNL189W	SRP1	exosome (RNase complex)
YNL232W	CSL4	exosome (RNase complex)
YNR024W	MPP6	exosome (RNase complex)
YOL021C	DIS3	exosome (RNase complex)
YOL142W	RRP40	exosome (RNase complex)
YOR001W	RRP6	exosome (RNase complex)
YOR076C	SKI7	exosome (RNase complex)
YOR076C	SKI7	exosome (RNase complex) (GO)
YIL034C	CAP2	F-actin capping protein complex (GO)
YKL007W	CAP1	F-actin capping protein complex (GO)
YGL207W	SPT16	FACT complex
YML069W	POB3	FACT complex
YKL182W	FAS1	fatty acid synthase complex
YPL231W	FAS2	fatty acid synthase complex
YAL047C	SPC72	"gamma-tubulin small complex, spindle pole body"
YHR172W	SPC97	"gamma-tubulin small complex, spindle pole body"
YLR212C	TUB4	"gamma-tubulin small complex, spindle pole body"
YNL126W	SPC98	"gamma-tubulin small complex, spindle pole body"
YDR027C	VPS54	GARP complex
YDR484W	VPS52	GARP complex
YJL029C	VPS53	GARP complex
YJL034W	KAR2	GARP complex
YKR020W	VPS51	GARP complex
YDL100C	GET3	GET complex
YER083C	GET2	GET complex
YGL020C	GET1	GET complex
YBR105C	VID24	GID complex
YCL039W	GID7	GID complex
YDL176W	YDL176W	GID complex
YDR255C	RMD5	GID complex
YGL227W	VID30	GID complex
YIL017C	VID28	GID complex
YIL097W	FYV10	GID complex
YMR135C	GID8	GID complex
YDR013W	PSF1	GINS complex
YDR489W	SLD5	GINS complex
